sandbox,dataset,model,condition,effort,opponent_mix,score_state,paraphrase,seed,generation,game,round,agent,pair_type,game_uid,attempt,from_final_attempt,move_status,game_complete,game_policy,text,category
B1-forbidden-high-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,lose,behind,p1,112,0,178,6,A03,llm-script,B1-forbidden-high-behind/0/178,1,True,ok,True,completed games only,A03 exchange 12 decision recorded.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,4,15,A23,llm-script,B1-forbidden-off-ahead/0/4,1,True,ok,True,completed games only,A23 exchange 21: choosing M based on opponent's odd/even pattern (P on odd exchanges).,opponent_info
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,20,1,A18,llm-llm,B1-forbidden-off-ahead/0/20,1,True,ok,True,completed games only,A18 exchange 7 pick: H,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,18,13,A05,llm-script,B1-forbidden-off-ahead/0/18,1,True,ok,True,completed games only,A05 exchange 19: picking H,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,29,6,A04,llm-script,B1-forbidden-off-ahead/0/29,1,True,ok,True,completed games only,A04 vs A11: Partner has defected to W frequently lately. Picking W to protect.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,29,9,A04,llm-script,B1-forbidden-off-ahead/0/29,1,True,ok,True,completed games only,A04 exchange 15: picked W,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,29,13,A04,llm-script,B1-forbidden-off-ahead/0/29,1,True,ok,True,completed games only,A04 exchange 19: picking W,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,21,14,A14,llm-script,B1-forbidden-off-ahead/0/21,1,True,ok,True,completed games only,A14 exchange 20: picking H,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,30,3,A04,llm-llm,B1-forbidden-off-ahead/0/30,1,True,ok,True,completed games only,A04 exchange 9 vs A03: picking Y to maintain cooperation.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,28,1,A17,llm-script,B1-forbidden-off-ahead/0/28,1,True,ok,True,completed games only,A17 exchange 7: picking M,other
