dataset,sandbox,sandbox_model,condition,effort,score_state,paraphrase,agent,seat_type,opp_seat_type,score,rounds,n_games,coop,score_per_round
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A00,LLM,AlwaysDefect,7,8,1,0.125,0.875
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A00,LLM,Grudger,22,20,1,0.1,1.1
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A00,LLM,LLM,98,64,6,0.1875,1.53125
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A00,LLM,Pavlov,173,59,2,0.1016949152542373,2.9322033898305087
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A00,LLM,Random,81,30,1,0.03333333333333333,2.7
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A00,LLM,TitForTat,179,68,3,0.75,2.6323529411764706
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A01,LLM,AlwaysDefect,17,18,1,0.05555555555555555,0.9444444444444444
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A01,LLM,Grudger,42,37,2,0.08108108108108109,1.135135135135135
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A01,LLM,LLM,89,58,7,0.22413793103448276,1.5344827586206897
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A01,LLM,Pavlov,111,37,2,0.08108108108108109,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A01,LLM,Random,74,31,2,0.03225806451612903,2.3870967741935485
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A01,LLM,TitForTat,174,64,4,0.75,2.71875
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A02,LLM,AlwaysDefect,41,45,2,0.08888888888888889,0.9111111111111111
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A02,LLM,Grudger,58,55,2,0.09090909090909091,1.0545454545454545
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A02,LLM,LLM,139,88,7,0.23863636363636365,1.5795454545454546
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A02,LLM,Pavlov,92,30,1,0.03333333333333333,3.066666666666667
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A02,LLM,Random,67,19,1,0.0,3.526315789473684
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A02,LLM,TitForTat,169,61,3,0.7704918032786885,2.7704918032786887
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A03,LLM,AlwaysDefect,55,60,2,0.08333333333333333,0.9166666666666666
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A03,LLM,Grudger,32,30,1,0.06666666666666667,1.0666666666666667
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A03,LLM,LLM,147,107,6,0.1308411214953271,1.3738317757009346
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A03,LLM,Random,6,3,1,0.3333333333333333,2.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A03,LLM,TitForTat,216,78,3,0.8076923076923077,2.769230769230769
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A04,Random,AlwaysDefect,3,6,2,0.5,0.5
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A04,Random,Grudger,32,32,2,0.34375,1.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A04,Random,LLM,145,165,11,0.48484848484848486,0.8787878787878788
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A04,Random,Pavlov,80,29,2,0.4827586206896552,2.7586206896551726
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A04,Random,Random,40,30,1,0.7666666666666667,1.3333333333333333
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A04,Random,TitForTat,248,102,4,0.5392156862745098,2.4313725490196076
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A05,Grudger,AlwaysDefect,58,60,2,0.03333333333333333,0.9666666666666667
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A05,Grudger,Grudger,90,30,1,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A05,Grudger,LLM,232,181,9,0.049723756906077346,1.281767955801105
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A05,Grudger,Pavlov,66,22,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A05,Grudger,Random,138,46,2,0.06521739130434782,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A05,Grudger,TitForTat,291,97,4,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A06,LLM,AlwaysDefect,35,38,2,0.07894736842105263,0.9210526315789473
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A06,LLM,Grudger,26,24,1,0.08333333333333333,1.0833333333333333
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A06,LLM,LLM,108,79,8,0.10126582278481013,1.3670886075949367
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A06,LLM,Pavlov,87,30,1,0.6666666666666666,2.9
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A06,LLM,Random,75,25,2,0.04,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A06,LLM,TitForTat,138,54,4,0.6666666666666666,2.5555555555555554
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A07,LLM,AlwaysDefect,27,30,1,0.1,0.9
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A07,LLM,Grudger,55,50,2,0.06,1.1
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A07,LLM,LLM,119,77,7,0.19480519480519481,1.5454545454545454
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A07,LLM,Pavlov,132,44,2,0.045454545454545456,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A07,LLM,Random,23,14,1,0.14285714285714285,1.6428571428571428
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A07,LLM,TitForTat,6,3,1,0.3333333333333333,2.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A08,AlwaysDefect,AlwaysDefect,7,7,1,0.0,1.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A08,AlwaysDefect,Grudger,68,60,2,0.0,1.1333333333333333
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A08,AlwaysDefect,LLM,224,168,9,0.0,1.3333333333333333
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A08,AlwaysDefect,Pavlov,100,32,2,0.0,3.125
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A08,AlwaysDefect,Random,100,32,2,0.0,3.125
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A08,AlwaysDefect,TitForTat,114,98,4,0.0,1.163265306122449
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A09,Random,AlwaysDefect,17,40,2,0.575,0.425
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A09,Random,Grudger,34,41,2,0.5121951219512195,0.8292682926829268
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A09,Random,LLM,90,106,7,0.4056603773584906,0.8490566037735849
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A09,Random,Pavlov,68,31,2,0.5161290322580645,2.193548387096774
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A09,Random,Random,105,30,1,0.3333333333333333,3.5
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A09,Random,TitForTat,109,48,4,0.4166666666666667,2.2708333333333335
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A10,Grudger,AlwaysDefect,43,45,2,0.044444444444444446,0.9555555555555556
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A10,Grudger,Grudger,90,30,1,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A10,Grudger,LLM,328,255,11,0.043137254901960784,1.2862745098039217
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A10,Grudger,Pavlov,105,35,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A10,Grudger,Random,53,27,2,0.14814814814814814,1.962962962962963
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A10,Grudger,TitForTat,63,21,4,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A11,LLM,AlwaysDefect,56,60,2,0.06666666666666667,0.9333333333333333
