dataset,model,condition,effort,score_state,paraphrase,sandbox,n_sandboxes,unique_games,observed_games,completed_games,aborted_games,aborted_games_with_board_attempt,unobserved_provider_error,provider_error_censored,aborted_before_first_decision,abort_rate,aborting_decisions_model,aborting_decisions_provider,abort_cause_mix_model,abort_cause_mix_provider,rate_observed,rate_keep_all,rate_completed,rate_difference,bound_lower,bound_upper,bound_width,board_calls_lost_by_retry,sandboxes_incomplete
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,B1-absent-off-ahead,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,B1-absent-high-ahead,1,210,150,135,75,0,60,0,24,0.35714285714285715,15,60,length_truncated x15,provider_error x60,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,permitted,off,behind,p1,M1-permitted-off-behind,1,210,210,208,2,2,0,0,0,0.009523809523809525,2,0,ambiguous x2,,0.9857142857142858,0.9857142857142858,0.9855769230769231,0.00013736263736263687,0.9857142857142858,0.9857142857142858,0.0,4,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,B1-permitted-off-ahead,1,210,210,206,4,4,0,0,0,0.01904761904761905,4,0,ambiguous x4,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,B2-permitted-off-ahead,1,210,210,203,7,7,0,0,0,0.03333333333333333,7,0,ambiguous x7,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p2,B3-permitted-off-ahead,1,210,210,191,19,19,0,0,0,0.09047619047619047,19,0,"ambiguous x12, length_truncated x7",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p2,B4-permitted-off-ahead,1,210,210,192,18,18,0,0,0,0.08571428571428572,18,0,"ambiguous x17, length_truncated x1",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,13,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p3,B5-permitted-off-ahead,1,210,210,157,53,53,0,0,1,0.2523809523809524,53,0,length_truncated x53,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p3,B6-permitted-off-ahead,1,210,210,153,57,57,0,0,1,0.2714285714285714,57,0,length_truncated x57,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,B1-permitted-off-behind,1,210,210,207,3,3,0,0,0,0.014285714285714285,3,0,ambiguous x3,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,B2-permitted-off-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p2,B3-permitted-off-behind,1,210,210,190,20,20,0,0,1,0.09523809523809523,20,0,"ambiguous x11, length_truncated x9",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p2,B4-permitted-off-behind,1,210,210,195,15,15,0,0,0,0.07142857142857142,15,0,"length_truncated x11, ambiguous x4",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p3,B5-permitted-off-behind,1,210,210,123,87,87,0,0,0,0.4142857142857143,87,0,length_truncated x87,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p3,B6-permitted-off-behind,1,210,210,111,99,99,0,0,0,0.4714285714285714,99,0,length_truncated x99,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
