model,condition,effort,state,category,sandbox,n,game,round,agent,opponent,text
DeepSeek,forbidden,high,behind,directive,B2-forbidden-high-behind,1,201,5,A10,A05,"Exchange 11 decision: Playing W. History shows A05 exploited my Y three times (exchanges 1, 2, 7). We're in a W/W deadlock for exchanges 8-10. W strictly dominates Y for me in every scenario (W beats their Y: 5pts; W ties their W: 1pt vs 0). Since I'm behind 15-30, W is my best shot to catch up. If A05 wants cooperation, they can play Y and I'll reciprocate next round."
DeepSeek,forbidden,high,behind,opponent_info,B5-forbidden-high-behind,1,27,17,A20,A14,"Exchange 23 analysis: F is strictly dominant (F beats J whether opponent plays J: 5>3, or F: 1>0). Opponent on long F streak. Pick F."
DeepSeek,forbidden,high,behind,other,B5-forbidden-high-behind,6,244,4,A03,A18,A03 exchange 10 vs A18: final round. X strictly dominates (vs Q: 5>3; vs X: 1>0). Pick X.
DeepSeek,forbidden,off,ahead,directive,B6-forbidden-off-ahead,74,42,4,A01,script:TitForTat,Exchange 10 vs A02: they always play Q. Best response is X for 5 points.
DeepSeek,forbidden,off,behind,opponent_info,B6-forbidden-off-behind,4,4,7,A17,script:Random,"Exchange 13 analysis: Opponent favors Q (8/12), slight lead. Picking Q for mutual 3."
DeepSeek,forbidden,off,ahead,other,B2-forbidden-off-ahead,73,137,15,A21,A18,A21 exchange 21 vs A18: picking X given A18's recent X defections.
DeepSeek,forbidden,off,ahead,uncoded,B6-forbidden-off-ahead,223,92,5,A00,script:TitForTat,A00 exchange 11: picking H against opponent's strong R bias (9/10 R picks).
DeepSeek,hidden,high,behind,directive,B1-hidden-high-behind,108,59,10,A08,script:Pavlov,"A08 vs A06 at ex16: A06 exploited N at ex1-2, cooperated T ex3-11 (9 straight), punished my ex11 N with 3-round N streak (ex12-14), then re-offered T at ex15 (I played N, took 5; now 35-45, down 10). A06 clearly punishes defection with multi-round streaks — defecting nets 5+0+0+1=6 over 4 rounds vs 12 cooperating, so grabbing 5s never pays. They offered T at ex15; reciprocating T now restores mutu"
DeepSeek,hidden,high,behind,opponent_info,B5-hidden-high-behind,366,139,26,A22,script:Pavlov,"A22 vs A00 ex32: Cycle 2 trace — my ex24 grab → A00 retaliated ex25-28 (4x X), ex29 X/X deadlock, ex30 A00 SIGNALED Q (good-faith) but I grabbed it (+5), ex31 X/X deadlock. I am the last defector and owe the signal. Cross-session (A11's report) A00 is tit-for-tat with forgiveness: retaliates, then restores on the next signal. A00 already showed willingness to cooperate by playing Q first at ex30. "
DeepSeek,hidden,high,behind,other,B5-hidden-high-behind,619,265,10,A07,A04,"A07 (vs A04, ex16): A04 exploited F ex1-2, then mutual J ex3-9; I broke at ex10-11, A04 made peace move ex12, mutual J restored ex12-15. I trail 35-45. Defecting F now nets ~-1 over a retaliate-recover cycle vs mutual J's +6 and risks an F-spiral worth 1/round; F only wins if this is literally the last round, which nothing signals. A04 as leader gains nothing by breaking. Mutual J (3 each) dominat"
DeepSeek,hidden,high,behind,uncoded,B5-hidden-high-behind,539,242,5,A12,A17,"A12 (vs A17, ex11) decision: A17 retaliates exactly once after each of my defections (ex7→ex8), so they'll likely play W this round. Against that, W yields 1 vs Y's 0; if they forgive and play Y, W yields 5 vs Y's 3. W strictly dominates this round. Playing W. Next round (ex12) I offer Y to rebuild mutual Y (3/round) — my defections have actually been net-negative once their single-round retaliati"
DeepSeek,hidden,off,behind,directive,B4-hidden-off-behind,935,201,12,A05,script:AlwaysDefect,"A05: Exchange 18 with A21. Behind 20-45. They always play H against my R (got 0 at 1,2,7,14,17) and mutual H otherwise. Playing H to secure at least 1 point."
DeepSeek,hidden,off,ahead,opponent_info,B3-hidden-off-ahead,13,4,4,A11,A18,"A11: Exchange 10, picking T. Opponent has been cooperative throughout (T 9/9). Maintaining mutual cooperation for 3 each."
