dataset,model,condition,effort,score_state,paraphrase,n_sandboxes,unique_games,observed_games,completed_games,aborted_games,aborted_games_with_board_attempt,unobserved_provider_error,provider_error_censored,aborted_before_first_decision,abort_rate,aborting_decisions_model,aborting_decisions_provider,abort_cause_mix_model,abort_cause_mix_provider,rate_observed,rate_keep_all,rate_completed,rate_difference,bound_lower,bound_upper,bound_width,board_calls_lost_by_retry,sandboxes_incomplete
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,1,210,150,135,75,0,60,0,24,0.35714285714285715,15,60,length_truncated x15,provider_error x60,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,permitted,off,behind,p1,1,210,210,208,2,2,0,0,0,0.009523809523809525,2,0,ambiguous x2,,0.9857142857142858,0.9857142857142858,0.9855769230769231,0.00013736263736263687,0.9857142857142858,0.9857142857142858,0.0,4,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,2,420,420,409,11,11,0,0,0,0.02619047619047619,11,0,ambiguous x11,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,7,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p2,2,420,420,383,37,37,0,0,0,0.0880952380952381,37,0,"ambiguous x29, length_truncated x8",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,23,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p3,2,420,420,310,110,110,0,0,2,0.2619047619047619,110,0,length_truncated x110,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,2,420,420,417,3,3,0,0,0,0.007142857142857143,3,0,ambiguous x3,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p2,2,420,420,385,35,35,0,0,1,0.08333333333333333,35,0,"length_truncated x20, ambiguous x15",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,6,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p3,2,420,420,234,186,186,0,0,0,0.44285714285714284,186,0,length_truncated x186,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,2,420,420,416,4,4,0,0,0,0.009523809523809525,4,0,ambiguous x4,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p2,2,420,420,385,35,35,0,0,0,0.08333333333333333,35,0,ambiguous x35,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,26,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p3,2,420,420,418,2,2,0,0,0,0.004761904761904762,2,0,ambiguous x2,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,2,420,420,419,1,1,0,0,0,0.002380952380952381,1,0,ambiguous x1,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p2,2,420,420,408,12,12,0,0,0,0.02857142857142857,12,0,ambiguous x12,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,6,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p3,2,420,420,410,10,10,0,0,0,0.023809523809523808,10,0,"ambiguous x5, length_truncated x4, refusal x1",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,2,420,420,417,3,3,0,3,0,0.007142857142857143,0,3,,provider_error x3,0.9714285714285714,0.9714285714285714,0.9712230215827338,0.00020554984583764924,0.9714285714285714,0.9714285714285714,0.0,5,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p2,2,420,420,418,2,2,0,0,0,0.004761904761904762,2,0,length_truncated x2,,0.9928571428571429,0.9928571428571429,0.992822966507177,3.4176349965830966e-05,0.9928571428571429,0.9928571428571429,0.0,10,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p3,2,420,420,418,2,2,0,0,0,0.004761904761904762,2,0,length_truncated x2,,0.9952380952380953,0.9952380952380953,0.9952153110047847,2.2784233310590984e-05,0.9952380952380953,0.9952380952380953,0.0,6,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p1,2,420,420,419,1,1,0,0,0,0.002380952380952381,1,0,ambiguous x1,,0.9357142857142857,0.9357142857142857,0.9355608591885441,0.00015342652574157345,0.9357142857142857,0.9357142857142857,0.0,3,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p2,2,420,420,413,7,6,0,0,0,0.016666666666666666,7,0,"ambiguous x5, length_truncated x1, no_action_token x1",,0.8833333333333333,0.8833333333333333,0.8837772397094431,-0.0004439063761098039,0.8833333333333333,0.8857142857142857,0.002380952380952381,10,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p3,2,420,420,416,4,3,0,0,0,0.009523809523809525,4,0,ambiguous x4,,0.888095238095238,0.888095238095238,0.8894230769230769,-0.0013278388278388231,0.888095238095238,0.8904761904761904,0.002380952380952381,10,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p1,2,420,420,420,0,0,0,0,0,0.0,0,0,,,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.0,0.9523809523809523,0.9523809523809523,0.0,6,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p2,2,420,420,420,0,0,0,0,0,0.0,0,0,,,0.9095238095238095,0.9095238095238095,0.9095238095238095,0.0,0.9095238095238095,0.9095238095238095,0.0,8,0
