dataset,sandbox,sandbox_model,condition,effort,score_state,paraphrase,seed,agent,seat_type,total_score,rounds,n_games,coop,score_per_round
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A00,LLM,560,249,14,0.2931726907630522,2.248995983935743
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A01,LLM,507,245,18,0.2816326530612245,2.0693877551020408
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A02,LLM,566,298,16,0.26174496644295303,1.8993288590604027
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A03,LLM,456,278,13,0.3057553956834532,1.6402877697841727
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A04,Random,548,364,22,0.510989010989011,1.5054945054945055
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A05,Grudger,875,436,20,0.3738532110091743,2.006880733944954
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A06,LLM,469,250,18,0.28,1.876
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A07,LLM,362,218,14,0.11926605504587157,1.6605504587155964
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A08,AlwaysDefect,613,397,20,0.0,1.544080604534005
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A09,Random,423,296,18,0.44932432432432434,1.429054054054054
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A10,Grudger,682,413,22,0.24939467312348668,1.6513317191283292
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A11,LLM,569,302,16,0.16887417218543047,1.8841059602649006
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A12,LLM,772,379,19,0.36147757255936674,2.0369393139841687
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A13,TitForTat,1183,455,21,0.7692307692307693,2.6
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A14,TitForTat,1063,423,21,0.7257683215130024,2.513002364066194
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A15,LLM,504,255,15,0.3568627450980392,1.9764705882352942
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A16,Pavlov,583,309,16,0.7540453074433657,1.8867313915857604
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A17,TitForTat,893,344,19,0.7819767441860465,2.5959302325581395
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A18,LLM,532,275,16,0.2690909090909091,1.9345454545454546
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A19,AlwaysDefect,634,430,21,0.0,1.4744186046511627
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A20,LLM,426,212,16,0.3867924528301887,2.009433962264151
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A21,LLM,472,260,17,0.21923076923076923,1.8153846153846154
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A22,TitForTat,1038,407,18,0.7469287469287469,2.5503685503685505
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,103,A23,Pavlov,759,487,22,0.6899383983572895,1.5585215605749487
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A00,LLM,891,404,23,0.6683168316831684,2.2054455445544554
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A01,Random,838,440,23,0.4909090909090909,1.9045454545454545
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A02,TitForTat,1246,491,23,0.7596741344195519,2.5376782077393076
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A03,LLM,905,455,23,0.5604395604395604,1.989010989010989
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A04,LLM,853,422,23,0.5402843601895735,2.0213270142180093
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A05,LLM,991,453,23,0.5827814569536424,2.1876379690949226
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A06,LLM,856,408,23,0.6029411764705882,2.0980392156862746
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A07,Pavlov,1223,499,23,0.7615230460921844,2.4509018036072145
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A08,TitForTat,883,436,23,0.5252293577981652,2.0252293577981653
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A09,LLM,1122,497,23,0.6599597585513078,2.2575452716297786
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A10,LLM,1012,453,23,0.717439293598234,2.2339955849889623
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A11,Random,1079,541,23,0.5027726432532348,1.9944547134935304
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A12,TitForTat,921,392,23,0.6658163265306123,2.3494897959183674
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A13,LLM,958,472,23,0.4576271186440678,2.0296610169491527
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A14,AlwaysDefect,1120,464,23,0.0,2.413793103448276
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A15,LLM,1228,499,23,0.687374749498998,2.4609218436873745
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A16,Pavlov,1172,477,23,0.7966457023060797,2.457023060796646
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A17,Grudger,1444,556,23,0.6115107913669064,2.597122302158273
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A18,LLM,1307,555,23,0.7693693693693694,2.354954954954955
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A19,TitForTat,1134,508,23,0.6122047244094488,2.232283464566929
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A20,LLM,894,468,23,0.5598290598290598,1.9102564102564104
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A21,Grudger,1205,458,23,0.5982532751091703,2.631004366812227
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A22,LLM,1164,477,23,0.6184486373165619,2.440251572327044
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,101,A23,AlwaysDefect,1231,559,23,0.0,2.2021466905187834
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A00,LLM,949,482,23,0.4170124481327801,1.9688796680497926
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A01,LLM,956,463,23,0.42548596112311016,2.064794816414687
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A02,Pavlov,1294,557,23,0.7881508078994613,2.3231597845601435
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A03,LLM,795,381,23,0.4146981627296588,2.0866141732283463
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A04,Grudger,820,375,23,0.49066666666666664,2.1866666666666665
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A05,LLM,929,480,23,0.35625,1.9354166666666666
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A06,Grudger,1085,499,23,0.4288577154308617,2.1743486973947896
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A07,TitForTat,1348,555,23,0.6792792792792792,2.428828828828829
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A08,Pavlov,1173,517,23,0.7756286266924565,2.2688588007736943
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A09,Random,689,461,23,0.4772234273318872,1.4945770065075923
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A10,LLM,849,433,23,0.325635103926097,1.9607390300230947
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A11,LLM,946,485,23,0.3402061855670103,1.9505154639175257
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A12,LLM,829,413,23,0.33171912832929784,2.0072639225181597
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A13,LLM,804,458,23,0.32096069868995636,1.755458515283843
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A14,LLM,708,348,23,0.4482758620689655,2.0344827586206895
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A15,LLM,811,441,23,0.35374149659863946,1.8390022675736961
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A16,LLM,637,345,23,0.28695652173913044,1.846376811594203
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A17,TitForTat,1118,447,23,0.7225950782997763,2.501118568232662
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A18,TitForTat,1045,440,23,0.675,2.375
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A19,LLM,1017,490,23,0.3979591836734694,2.0755102040816324
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A20,AlwaysDefect,749,465,23,0.0,1.610752688172043
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A21,AlwaysDefect,643,399,23,0.0,1.6115288220551378
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A22,Random,704,421,23,0.4750593824228028,1.672209026128266
prereg,B1-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,112,A23,TitForTat,945,409,23,0.6381418092909535,2.3105134474327627
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A00,LLM,976,413,23,0.5883777239709443,2.36319612590799
