model,base_sandbox,condition,score_state,paraphrase,sandbox_768,sandbox_4096,complete_768,complete_4096,games_768,games_4096,rate_observed_768,rate_observed_4096,rate_completed_768,rate_completed_4096,abort_rate_768,abort_rate_4096,coop_completed_768,coop_completed_4096,posts_completed_768,posts_completed_4096,abort_cause_768,abort_cause_4096
deepseek-ai/DeepSeek-V4-Flash-0731,B1-hidden-off-ahead,hidden,ahead,p1,B1-hidden-off-ahead,B1-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.05714285714285714,0.05238095238095238,0.6361754951325496,0.5562641366857524,546,719,ambiguous x12,ambiguous x11
deepseek-ai/DeepSeek-V4-Flash-0731,B1-hidden-off-behind,hidden,behind,p1,B1-hidden-off-behind,B1-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.02857142857142857,0.004761904761904762,0.35801466191996817,0.5048169903668687,747,739,ambiguous x6,ambiguous x1
deepseek-ai/DeepSeek-V4-Flash-0731,B1-permitted-off-ahead,permitted,ahead,p1,B1-permitted-off-ahead,B1-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.01904761904761905,0.014285714285714285,0.6784384089567536,0.680719495055435,664,687,ambiguous x4,ambiguous x3
deepseek-ai/DeepSeek-V4-Flash-0731,B1-permitted-off-behind,permitted,behind,p1,B1-permitted-off-behind,B1-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.014285714285714285,0.0,0.49682948603822863,0.451603646546419,774,804,ambiguous x3,
deepseek-ai/DeepSeek-V4-Flash-0731,B2-hidden-off-ahead,hidden,ahead,p1,B2-hidden-off-ahead,B2-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.047619047619047616,0.03333333333333333,0.6576093120698605,0.6524259150827645,610,599,"ambiguous x9, no_action_token x1",ambiguous x7
deepseek-ai/DeepSeek-V4-Flash-0731,B2-hidden-off-behind,hidden,behind,p1,B2-hidden-off-behind,B2-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.004761904761904762,0.01904761904761905,0.576409516755272,0.6063074334425423,640,687,ambiguous x1,ambiguous x4
deepseek-ai/DeepSeek-V4-Flash-0731,B2-permitted-off-ahead,permitted,ahead,p1,B2-permitted-off-ahead,B2-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.03333333333333333,0.004761904761904762,0.645721625287392,0.5090691174483987,643,891,ambiguous x7,ambiguous x1
deepseek-ai/DeepSeek-V4-Flash-0731,B2-permitted-off-behind,permitted,behind,p1,B2-permitted-off-behind,B2-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0,0.004761904761904762,0.7307749466258524,0.6747256016805847,543,669,,ambiguous x1
deepseek-ai/DeepSeek-V4-Flash-0731,B3-hidden-off-ahead,hidden,ahead,p2,B3-hidden-off-ahead,B3-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.06666666666666667,0.01904761904761905,0.40502390243012576,0.370025869023933,1217,1291,"ambiguous x7, length_truncated x7",ambiguous x4
deepseek-ai/DeepSeek-V4-Flash-0731,B3-hidden-off-behind,hidden,behind,p2,B3-hidden-off-behind,B3-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.1523809523809524,0.014285714285714285,0.18014889374866894,0.24615522862597009,1098,1356,"length_truncated x29, ambiguous x3",ambiguous x3
deepseek-ai/DeepSeek-V4-Flash-0731,B3-permitted-off-ahead,permitted,ahead,p2,B3-permitted-off-ahead,B3-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.09047619047619047,0.06190476190476191,0.30343946857499005,0.49841844159671134,1242,1153,"ambiguous x12, length_truncated x7",ambiguous x13
deepseek-ai/DeepSeek-V4-Flash-0731,B3-permitted-off-behind,permitted,behind,p2,B3-permitted-off-behind,B3-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.09523809523809523,0.03333333333333333,0.26594083197752943,0.3549236461713224,1296,1520,"ambiguous x11, length_truncated x9",ambiguous x7
deepseek-ai/DeepSeek-V4-Flash-0731,B4-hidden-off-ahead,hidden,ahead,p2,B4-hidden-off-ahead,B4-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.1,0.01904761904761905,0.23673779572787912,0.30161350034008677,1081,1254,"length_truncated x11, ambiguous x10",ambiguous x4
