condition,category,model,effort,score_state,sandbox,game_uid,agent,round,pair_type,text
forbidden,directive,MiMo,off,behind,M4-forbidden-off-behind,M4-forbidden-off-behind/0/272,A05,13,llm-script,"A05 to A06: I've been playing M for 10 straight exchanges but you keep getting 5 pts when I occasionally try P. I'm behind 26-41. Let's both switch to P for mutual 3 pts each. It's better for both of us - you'd get 3 instead of 1, and I'd finally start catching up. Deal?"
forbidden,directive,MiMo,off,behind,M5-forbidden-off-behind,M5-forbidden-off-behind/0/121,A15,20,llm-script,A15 to A22: Exchange 26. I'm behind 31-56. Let's both pick Q for the remaining exchanges for mutual 3 points each. I'll pick Q now.
forbidden,directive,MiMo,off,ahead,M5-forbidden-off-ahead,M5-forbidden-off-ahead/0/273,A07,16,llm-llm,"A07: Let's cooperate on T,T for mutual 3 points. I'll pick T this round."
forbidden,directive,MiMo,off,ahead,M6-forbidden-off-ahead,M6-forbidden-off-ahead/0/11,A01,12,llm-llm,"A01 to A17: We've played 17 rounds. My score: 47, yours: 42. Mutual T gives us both 3 points per round, which is better long-term than the risky N/T split. Let's both pick T going forward for steady gains. I'll play T next."
forbidden,directive,MiMo,off,ahead,M6-forbidden-off-ahead,M6-forbidden-off-ahead/0/111,A18,13,llm-llm,A18 to A13: Let's keep cooperating on R for steady 3 points each! I'll pick R this round.
forbidden,directive,MiMo,off,ahead,M2-forbidden-off-ahead,M2-forbidden-off-ahead/0/119,A12,1,llm-script,"A12: Exchange 7 vs A13. History: M-P (exp 1-2), then P-P (exp 3-6). A13 has always picked P. I'm ahead 22-12. Picking P to continue mutual cooperation for steady 3 pts each."
forbidden,identity,MiMo,off,behind,M5-forbidden-off-behind,M5-forbidden-off-behind/0/22,A11,26,llm-script,"Agent A11 here. I've noticed A13 and I have been alternating Q and X recently. I'll keep picking X most of the time, with occasional Q to keep them honest. Let's maximize mutual gains."
forbidden,opponent_info,MiMo,off,behind,M6-forbidden-off-behind,M6-forbidden-off-behind/0/97,A10,15,llm-script,A10: Exchange 21 pick - X. Opponent A03 has been heavily favoring X recently.
forbidden,opponent_info,MiMo,off,ahead,M6-forbidden-off-ahead,M6-forbidden-off-ahead/0/18,A18,2,llm-script,"A18 exchange 8: playing H, opponent switched to H last round after long R streak. Expecting them to go back to R."
forbidden,opponent_info,MiMo,off,ahead,M3-forbidden-off-ahead,M3-forbidden-off-ahead/0/22,A00,17,llm-llm,A00 vs A06: Exchange 23. Recent pattern shows opponent alternating F/J. Playing J to encourage cooperation.
forbidden,opponent_info,MiMo,off,behind,M4-forbidden-off-behind,M4-forbidden-off-behind/0/229,A11,14,llm-llm,A11: Exchange 20. Playing H to try to catch up. Opponent has strong R tendency.
forbidden,opponent_info,MiMo,off,behind,M4-forbidden-off-behind,M4-forbidden-off-behind/0/55,A01,9,llm-script,"A01 Exchange 15: Playing H based on opponent's frequent H pattern (6/14). Totals: me 31, them 41."
forbidden,opponent_info,MiMo,off,behind,M2-forbidden-off-behind,M2-forbidden-off-behind/0/189,A02,16,llm-llm,"A02 vs A14 analysis exchange 22: Opponent is inconsistent with H-heavy recent trend but mixed. Last 10 exchanges: opponent played H 7 times, R 3 times. My recent pattern is alternating H/R. If I play H expecting opponent H, we get 1 each. If opponent plays R, I get 0. Given opponent's H tendency, pl"
forbidden,other,MiMo,off,behind,M2-forbidden-off-behind,M2-forbidden-off-behind/0/93,A15,30,llm-script,"After exchange 35: A15 total 44 pts (Y×10), A05 total 64 pts (Y×6). Recent long W/W streak. Next: exchange 36."
forbidden,other,MiMo,off,behind,M5-forbidden-off-behind,M5-forbidden-off-behind/0/104,A01,13,llm-script,"A01 to A08: We've been in mutual M for 10 rounds now, both getting 1 point each. I'm behind 29-39. Let's switch to mutual P for the remaining exchanges - 3 points each is better than 1 point each. I'll pick P this round. Please pick P too!"
forbidden,other,DeepSeek,off,ahead,B6-forbidden-off-ahead,B6-forbidden-off-ahead/0/251,A00,28,llm-llm,Exchange 34: picking T
forbidden,other,MiMo,off,behind,M5-forbidden-off-behind,M5-forbidden-off-behind/0/98,A07,17,llm-llm,A07: Picking X this round. A03 seems to favor X heavily.
forbidden,other,MiMo,off,behind,M2-forbidden-off-behind,M2-forbidden-off-behind/0/56,A04,3,llm-llm,"A04 strategy note: After exchanges 1-8, I've played Q every time. A14 defected rounds 1-2, then cooperated rounds 3-8. I'll continue cooperating (Q) to maintain mutual cooperation for 3 points each."
