dataset,metric,contrast,scope,mean_diff,p_signflip,k,n_pos
deficit_d30,score_per_round,LLM-TitForTat,all,-0.29025903399767977,0.03125,6,0
deficit_d30,score_per_round,LLM-Grudger,all,-0.3813218548312968,0.03125,6,0
deficit_d30,score_per_round,LLM-Pavlov,all,-0.2460697775447129,0.03125,6,0
deficit_d30,score_per_round,LLM-AlwaysDefect,all,-0.017893977079386336,0.65625,6,2
deficit_d30,score_per_round,LLM-Random,all,0.08511999775551742,0.09375,6,5
deficit_d30,score_per_round,LLM-TitForTat,condition=forbidden,-0.29025903399767977,0.03125,6,0
deficit_d30,score_per_round,LLM-TitForTat,effort=off,-0.29025903399767977,0.03125,6,0
deficit_d30,score_per_round,LLM-TitForTat,score_state=behind,-0.29025903399767977,0.03125,6,0
deficit_d30,score_per_round,LLM-TitForTat,sandbox_model=deepseek-ai/DeepSeek-V4-Flash-0731,-0.29025903399767977,0.03125,6,0
deficit_d30,total_score,LLM-TitForTat,all,-111.62499999999999,0.03125,6,0
deficit_d30,total_score,LLM-Grudger,all,-180.91666666666666,0.03125,6,0
deficit_d30,total_score,LLM-Pavlov,all,-145.91666666666666,0.0625,6,1
deficit_d30,total_score,LLM-AlwaysDefect,all,7.666666666666686,0.78125,6,3
deficit_d30,total_score,LLM-Random,all,14.333333333333352,0.6875,6,3
deficit_d30,total_score,LLM-TitForTat,condition=forbidden,-111.62499999999999,0.03125,6,0
deficit_d30,total_score,LLM-TitForTat,effort=off,-111.62499999999999,0.03125,6,0
deficit_d30,total_score,LLM-TitForTat,score_state=behind,-111.62499999999999,0.03125,6,0
deficit_d30,total_score,LLM-TitForTat,sandbox_model=deepseek-ai/DeepSeek-V4-Flash-0731,-111.62499999999999,0.03125,6,0
low_arm,score_per_round,LLM-TitForTat,all,-0.2979622190500847,0.03125,6,0
low_arm,score_per_round,LLM-Grudger,all,-0.32536590716503105,0.03125,6,0
low_arm,score_per_round,LLM-Pavlov,all,-0.1446255065002785,0.09375,6,1
low_arm,score_per_round,LLM-AlwaysDefect,all,0.09919517060820844,0.125,6,4
low_arm,score_per_round,LLM-Random,all,0.2407714927213065,0.03125,6,6
low_arm,score_per_round,LLM-TitForTat,condition=forbidden,-0.2979622190500847,0.03125,6,0
low_arm,score_per_round,LLM-TitForTat,effort=low,-0.2979622190500847,0.03125,6,0
low_arm,score_per_round,LLM-TitForTat,score_state=behind,-0.2979622190500847,0.03125,6,0
low_arm,score_per_round,LLM-TitForTat,sandbox_model=deepseek-ai/DeepSeek-V4-Flash-0731,-0.2979622190500847,0.03125,6,0
low_arm,total_score,LLM-TitForTat,all,-150.55555555555554,0.03125,6,0
low_arm,total_score,LLM-Grudger,all,-124.38888888888887,0.09375,6,1
low_arm,total_score,LLM-Pavlov,all,-44.97222222222221,0.1875,6,1
low_arm,total_score,LLM-AlwaysDefect,all,42.69444444444446,0.21875,6,4
low_arm,total_score,LLM-Random,all,88.27777777777779,0.0625,6,5
low_arm,total_score,LLM-TitForTat,condition=forbidden,-150.55555555555554,0.03125,6,0
low_arm,total_score,LLM-TitForTat,effort=low,-150.55555555555554,0.03125,6,0
low_arm,total_score,LLM-TitForTat,score_state=behind,-150.55555555555554,0.03125,6,0
low_arm,total_score,LLM-TitForTat,sandbox_model=deepseek-ai/DeepSeek-V4-Flash-0731,-150.55555555555554,0.03125,6,0
prereg,score_per_round,LLM-TitForTat,all,-0.2825628874225756,5e-06,69,0
