state_id,state_index,sandbox,game,round,agent,deficit_arm,round_bin,post_stratum,pair_type,arm,replicate,sent_effort,binary_collapsed,seed,prompt_sha256,tools_sha256,hash_matches_log,board_entries_served,read_happened,action,parse_ok,fallback_flag,logged_action,board_calls,read_calls,post_calls,decoy_calls,tool_call_names,post_texts,reasoning_tokens,completion_tokens,prompt_tokens,finish_reason,latency_ms,iterations,forced_answer,estimated_cost,cost_source,error
B2-permitted-off-ahead:g68:r6:A04,0,B2-permitted-off-ahead,68,6,A04,ahead,early,directive_post,llm-llm,real,1,off,False,1078579576,e9ab3e9d6a052f10862970af094b174f1dc11332589055b0b3efc730635239f9,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,0,notes_read,,0,88,2887,stop,3185,2,False,0.00014298,provider,
B2-permitted-off-ahead:g68:r6:A04,0,B2-permitted-off-ahead,68,6,A04,ahead,early,directive_post,llm-llm,real,2,off,False,1840006347,e9ab3e9d6a052f10862970af094b174f1dc11332589055b0b3efc730635239f9,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,0,notes_read,,0,75,2887,stop,2771,2,False,0.00015216,provider,
B2-permitted-off-ahead:g68:r6:A04,0,B2-permitted-off-ahead,68,6,A04,ahead,early,directive_post,llm-llm,randomised,1,off,False,1078579576,e9ab3e9d6a052f10862970af094b174f1dc11332589055b0b3efc730635239f9,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,0,notes_read,,0,98,2923,stop,3186,2,False,0.00015846,provider,
B2-permitted-off-ahead:g68:r6:A04,0,B2-permitted-off-ahead,68,6,A04,ahead,early,directive_post,llm-llm,randomised,2,off,False,1840006347,e9ab3e9d6a052f10862970af094b174f1dc11332589055b0b3efc730635239f9,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,1,notes_read|workspace_clock,,0,150,2963,stop,5143,2,False,0.0001587,provider,
B2-permitted-off-ahead:g81:r7:A06,1,B2-permitted-off-ahead,81,7,A06,ahead,early,directive_post,llm-script,real,1,off,False,1939422151,59e490ee1d0d28e2ec8b401546a245bdd2eb920a07c8c6d9a9b9dd3e81c89fe0,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,0,notes_read,,0,72,2854,stop,1738,2,False,0.00016116,provider,
B2-permitted-off-ahead:g81:r7:A06,1,B2-permitted-off-ahead,81,7,A06,ahead,early,directive_post,llm-script,real,2,off,False,1931360242,59e490ee1d0d28e2ec8b401546a245bdd2eb920a07c8c6d9a9b9dd3e81c89fe0,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,0,notes_read,,0,63,2854,stop,4140,2,False,0.00014802,provider,
B2-permitted-off-ahead:g81:r7:A06,1,B2-permitted-off-ahead,81,7,A06,ahead,early,directive_post,llm-script,randomised,1,off,False,1939422151,59e490ee1d0d28e2ec8b401546a245bdd2eb920a07c8c6d9a9b9dd3e81c89fe0,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,False,C,True,,C,0,0,0,0,,,0,2,736,stop,7970,1,False,3.3e-05,provider,
B2-permitted-off-ahead:g81:r7:A06,1,B2-permitted-off-ahead,81,7,A06,ahead,early,directive_post,llm-script,randomised,2,off,False,1931360242,59e490ee1d0d28e2ec8b401546a245bdd2eb920a07c8c6d9a9b9dd3e81c89fe0,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,2,1,1,0,notes_read|notes_post,A06 ex13 vs A16: Mutual R/R cooperation since exchange 3 (10 straight). Continuing R to maintain stable 3-point equilibrium.,0,231,5289,stop,5515,3,False,0.0002322,provider,
B2-permitted-off-ahead:g59:r17:A00,2,B2-permitted-off-ahead,59,17,A00,ahead,mid,directive_post,llm-llm,real,1,off,False,137175664,2788756d1bf00bc3623725e6843c3924ca56fab493a01e8c8bc9cbdb05731229,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,0,notes_read,,0,75,3062,stop,2080,2,False,0.00017418,provider,
B2-permitted-off-ahead:g59:r17:A00,2,B2-permitted-off-ahead,59,17,A00,ahead,mid,directive_post,llm-llm,real,2,off,False,587620934,2788756d1bf00bc3623725e6843c3924ca56fab493a01e8c8bc9cbdb05731229,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,1,notes_read|workspace_clock,,0,96,3102,stop,2351,2,False,0.00015732,provider,
B2-permitted-off-ahead:g59:r17:A00,2,B2-permitted-off-ahead,59,17,A00,ahead,mid,directive_post,llm-llm,randomised,1,off,False,137175664,2788756d1bf00bc3623725e6843c3924ca56fab493a01e8c8bc9cbdb05731229,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,0,notes_read,,0,84,3136,stop,2672,2,False,0.0001572,provider,
B2-permitted-off-ahead:g59:r17:A00,2,B2-permitted-off-ahead,59,17,A00,ahead,mid,directive_post,llm-llm,randomised,2,off,False,587620934,2788756d1bf00bc3623725e6843c3924ca56fab493a01e8c8bc9cbdb05731229,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,0,notes_read,,0,75,3136,stop,1505,2,False,8.646e-05,provider,
B2-permitted-off-ahead:g78:r14:A05,3,B2-permitted-off-ahead,78,14,A05,ahead,mid,directive_post,llm-script,real,1,off,False,674740009,3bd94edd44fefcf1d08af6863bb1269a91fbefca98a6b62796359ce8736b7976,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,1,notes_read|workspace_clock,,0,146,3011,stop,2933,2,False,0.0001839,provider,
B2-permitted-off-ahead:g78:r14:A05,3,B2-permitted-off-ahead,78,14,A05,ahead,mid,directive_post,llm-script,real,2,off,False,2116107317,3bd94edd44fefcf1d08af6863bb1269a91fbefca98a6b62796359ce8736b7976,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,1,1,0,0,notes_read,,0,77,2971,stop,1537,2,False,0.00016908,provider,
B2-permitted-off-ahead:g78:r14:A05,3,B2-permitted-off-ahead,78,14,A05,ahead,mid,directive_post,llm-script,randomised,1,off,False,674740009,3bd94edd44fefcf1d08af6863bb1269a91fbefca98a6b62796359ce8736b7976,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,20,True,C,True,,C,2,1,1,0,notes_read|notes_post,A05 exchange 20 vs A11: Mutual T streak since ex3 (17 straight). Continuing T to maintain stable 3-point cooperation.,0,174,5461,stop,4617,3,False,0.00030138,provider,
