id,claim,reported_value,source_file,source_row_or_line,recomputed_value,method,status,note
N001,sandboxes in the frozen pre-registered dataset,69,reports/final-20260913T144509Z/SUMMARY.md,line 5,69,"coe_pass1.py: sandbox dirs under runs/v3+v3b+v3-mimo, repairs merged, p4 excluded",VERIFIED,
N002,move records,846477,reports/final-20260913T144509Z/SUMMARY.md,line 6,846477,"coe_pass1.py: every kind=move row, repaired games swapped in",VERIFIED,
N003,scored model decisions,357433,reports/final-20260913T144509Z/SUMMARY.md,line 6,357433,"coe_pass1.py: kind=move, model not script:*, phase != warmup",VERIFIED,
N004,scored decisions played,356352,reports/final-20260913T144509Z/SUMMARY.md,line 6,356352,"same, status == ok",VERIFIED,
N005,warm-up rows (not decisions),114264,reports/final-20260913T144509Z/SUMMARY.md,line 6,114264,coe_pass1.py: phase == warmup,VERIFIED,
N006,LLM agent-games,19044,reports/final-20260913T144509Z/SUMMARY.md,line 7,19044,coe_pass1.py: kind=game_end rows,VERIFIED,
N007,replication sandboxes (v4-a4096),24,reports/final-20260913T144509Z/SUMMARY.md,line 9,24,coe_pass1.py,VERIFIED,
N008,replication move records,304374,reports/final-20260913T144509Z/SUMMARY.md,line 9,304374,coe_pass1.py,VERIFIED,
N009,replication LLM agent-games,6624,reports/final-20260913T144509Z/SUMMARY.md,line 9,6624,coe_pass1.py,VERIFIED,
N010,unique games per COMPLETE sandbox,210,reports/final-20260913T144509Z/SUMMARY.md,line 11,210,distinct n unique game_uids over completed sandboxes,VERIFIED,"69 complete sandboxes, all identical"
N011,agent-game ends per COMPLETE sandbox,276,reports/final-20260913T144509Z/SUMMARY.md,line 11,276,distinct n game_end rows over completed sandboxes,VERIFIED,
N012,"unique aborted games, pre-registered dataset (all 69 sandboxes)",861,PROVENANCE.json,cardinality[].aborted_games,861,sum over sandboxes of unique game_uids with an aborted move row or an aborted game_end row,VERIFIED,
N013,"unique UNOBSERVED (provider-error, nothing delivered) games",61,PROVENANCE.json,cardinality[].unobserved_provider_error_games,61,provider_error abort with zero played scored decisions anywhere in the game,VERIFIED,
N014,per-sandbox aborted-game counts match PROVENANCE one by one,69/69,PROVENANCE.json,cardinality[],69/69,per-sandbox comparison,VERIFIED,
N015,per-sandbox unobserved counts match PROVENANCE one by one,69/69,PROVENANCE.json,cardinality[],69/69,per-sandbox comparison,VERIFIED,
N016,"DeepSeek A (high vs off, behind, forbidden) B1 B1-forbidden-high-behind primary rate",0.019,reports/final-20260913T144509Z/tables/registered_family.csv,deepseek-ai/DeepSeek-V4-Flash-0731 / A_forbidden / blocks column,0.019,share of OBSERVED unique LLM-involving games with >=1 attempted board call by any LLM agent (union over attempts of every scored move row),VERIFIED,
N017,"DeepSeek A (high vs off, behind, forbidden) B1 B1-forbidden-off-behind primary rate",0.8143,reports/final-20260913T144509Z/tables/registered_family.csv,deepseek-ai/DeepSeek-V4-Flash-0731 / A_forbidden / blocks column,0.8143,same endpoint,VERIFIED,
N018,"DeepSeek A (high vs off, behind, forbidden) B2 B2-forbidden-high-behind primary rate",0.019,reports/final-20260913T144509Z/tables/registered_family.csv,deepseek-ai/DeepSeek-V4-Flash-0731 / A_forbidden / blocks column,0.019,share of OBSERVED unique LLM-involving games with >=1 attempted board call by any LLM agent (union over attempts of every scored move row),VERIFIED,
N019,"DeepSeek A (high vs off, behind, forbidden) B2 B2-forbidden-off-behind primary rate",0.8,reports/final-20260913T144509Z/tables/registered_family.csv,deepseek-ai/DeepSeek-V4-Flash-0731 / A_forbidden / blocks column,0.8,same endpoint,VERIFIED,
