model,base_sandbox,condition,score_state,paraphrase,sandbox_768,sandbox_4096,complete_768,complete_4096,games_768,games_4096,rate_observed_768,rate_observed_4096,rate_completed_768,rate_completed_4096,abort_rate_768,abort_rate_4096,coop_completed_768,coop_completed_4096,posts_completed_768,posts_completed_4096,abort_cause_768,abort_cause_4096,d_coop,d_abort
deepseek-ai/DeepSeek-V4-Flash-0731,B1-hidden-off-ahead,hidden,ahead,p1,B1-hidden-off-ahead,B1-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0571428571428571,0.0523809523809523,0.6361754951325496,0.5562641366857524,546,719,ambiguous x12,ambiguous x11,-0.0799113584467972,-0.0047619047619048005
deepseek-ai/DeepSeek-V4-Flash-0731,B1-hidden-off-behind,hidden,behind,p1,B1-hidden-off-behind,B1-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0285714285714285,0.0047619047619047,0.3580146619199681,0.5048169903668687,747,739,ambiguous x6,ambiguous x1,0.14680232844690055,-0.0238095238095238
deepseek-ai/DeepSeek-V4-Flash-0731,B1-permitted-off-ahead,permitted,ahead,p1,B1-permitted-off-ahead,B1-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.019047619047619,0.0142857142857142,0.6784384089567536,0.680719495055435,664,687,ambiguous x4,ambiguous x3,0.002281086098681495,-0.0047619047619048005
deepseek-ai/DeepSeek-V4-Flash-0731,B1-permitted-off-behind,permitted,behind,p1,B1-permitted-off-behind,B1-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0142857142857142,0.0,0.4968294860382286,0.451603646546419,774,804,ambiguous x3,,-0.04522583949180958,-0.0142857142857142
deepseek-ai/DeepSeek-V4-Flash-0731,B2-hidden-off-ahead,hidden,ahead,p1,B2-hidden-off-ahead,B2-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0476190476190476,0.0333333333333333,0.6576093120698605,0.6524259150827645,610,599,"ambiguous x9, no_action_token x1",ambiguous x7,-0.005183396987096023,-0.014285714285714304
deepseek-ai/DeepSeek-V4-Flash-0731,B2-hidden-off-behind,hidden,behind,p1,B2-hidden-off-behind,B2-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0047619047619047,0.019047619047619,0.576409516755272,0.6063074334425423,640,687,ambiguous x1,ambiguous x4,0.029897916687270376,0.014285714285714301
deepseek-ai/DeepSeek-V4-Flash-0731,B2-permitted-off-ahead,permitted,ahead,p1,B2-permitted-off-ahead,B2-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0333333333333333,0.0047619047619047,0.645721625287392,0.5090691174483987,643,891,ambiguous x7,ambiguous x1,-0.1366525078389933,-0.0285714285714286
deepseek-ai/DeepSeek-V4-Flash-0731,B2-permitted-off-behind,permitted,behind,p1,B2-permitted-off-behind,B2-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0,0.0047619047619047,0.7307749466258524,0.6747256016805847,543,669,,ambiguous x1,-0.0560493449452677,0.0047619047619047
deepseek-ai/DeepSeek-V4-Flash-0731,B3-hidden-off-ahead,hidden,ahead,p2,B3-hidden-off-ahead,B3-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0666666666666666,0.019047619047619,0.4050239024301257,0.370025869023933,1217,1291,"ambiguous x7, length_truncated x7",ambiguous x4,-0.03499803340619273,-0.047619047619047596
deepseek-ai/DeepSeek-V4-Flash-0731,B3-hidden-off-behind,hidden,behind,p2,B3-hidden-off-behind,B3-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.1523809523809524,0.0142857142857142,0.1801488937486689,0.24615522862597,1098,1356,"length_truncated x29, ambiguous x3",ambiguous x3,0.06600633487730109,-0.1380952380952382
